hkl,_refln_intensity_meas,_refln_intensity_sigma,G-vector Length,Intensity,orientation
-2 1 7,0.0004893990621009836,0.00011835754668852963,1.270315905833894,7.723472e-07,20
-1 1 7,0.0002180221157651407,0.00010908150880321829,1.301155010940823,1.6348583e-06,20
0 1 7,0.004966296749234832,0.0002138185441664806,1.3649350461473413,4.5226138e-08,20
-7 1 8,0.0024470187941451342,0.0001580683822937486,1.7120274204361354,2.965377e-06,20
-6 1 8,0.0001397276592850697,8.855680725445343e-05,1.6085415471813391,1.4480442e-08,20
-5 1 8,0.0006721252666215091,0.00011081929817920065,1.527912100061672,1.6228023e-07,20
-4 1 8,6.575419260473868e-05,8.921434918050081e-05,1.473894948035377,4.350592e-06,20
-3 1 8,0.0031710194220037386,0.0001810118987847592,1.449468421869393,3.6919012e-06,20
-2 1 8,0.011584972874986532,0.0003027041223839577,1.456122436463327,2.6887239e-05,20
-7 1 9,2.2685196448634846e-05,7.7214209030136e-05,,,20
-6 1 9,0.0003976015124967252,9.102258947713111e-05,1.7454666017175962,2.1097366e-08,20
-5 1 9,0.0003609670337597994,9.031808027065178e-05,1.6806357642673295,2.9947885e-05,20
-4 1 9,0.0001760568506991878,9.492087375298349e-05,1.6410852940600906,3.7172137e-07,20
3 -1 -4,0.2885653740864042,0.001410004725847757,0.8075896026475351,2.6101103e-05,20
4 -1 -4,0.032638502517775,0.0004924049680486288,0.9201642950137568,1.1396033e-07,20
-2 0 0,0.17719362327112267,0.0011834580486842162,0.4260081121833359,0.00036958483,20
-6 0 1,0.0003743057414024749,0.00015170431579521852,1.2192544044705558,9.4135906e-08,20
5 0 1,0.002067429233694064,0.00022696938268742837,1.1515255589330635,2.4211788e-06,20
0 1 4,0.07426778714315788,0.0007450419694921212,0.7830361490385692,3.9317115e-06,20
1 1 4,0.009904694933893083,0.0003609670337597994,0.8840871396414562,1.4447631e-05,20
-4 1 5,0.004038411157021106,0.00020700828850384696,1.031741804090019,5.5887367e-06,20
-7 1 6,0.0006392481703191398,0.00011157077466611196,1.5170180024599833,4.859193e-08,20
3 -2 -7,0.00030575699561203484,0.00010800126135328329,1.2831753382781252,1.3791066e-07,20
4 -2 -7,0.018948620519309706,0.0003739769704394513,1.3223917794393272,7.524173e-09,20
5 -2 -7,0.00012880776658463988,9.280734613354546e-05,1.3934283417941675,5.5964284e-07,20
-1 1 4,0.027762077659646715,0.0004762247399398199,0.7317257729135266,0.00022227815,20
-6 1 5,0.0006244534769830738,0.00013153186884969333,1.2900276620950464,2.9099615e-06,20
-5 1 5,0.000685252621502241,0.00013587634228964929,1.1484600697138612,6.015744e-08,20
-1 -1 -3,0.3146416551495067,0.0014979274748163792,0.6969257574662102,0.00020385004,20
6 -1 -3,0.0013487359085242704,0.00014789996608023006,1.194754757542659,1.1284152e-07,20
-3 0 0,0.004254296261526592,0.0003380235172687888,0.639012168275004,3.2126225e-06,20
-7 0 1,0.0014445726442456769,0.0001653483107607018,1.4302542877942563,1.4978433e-07,20
-2 1 4,0.008896847546743952,0.0003080818759934167,0.7405680648081231,2.30967e-05,20
-7 1 5,0.00227333379110776,0.00016548921260199767,1.449180341447075,4.0979336e-07,20
-5 2 9,0.00016156744468592932,8.975447290546829e-05,1.686990086261858,3.3902847e-07,20
-4 2 9,0.0006950218158320879,0.00011673717551362714,1.6475921526859454,2.872794e-08,20
5 -1 -3,0.00048019347513632017,0.00015600182195474254,1.0102876905092542,6.7662854e-06,20
-4 0 0,0.009745687205990694,0.00039011023126782823,0.8520162243666719,3.9417873e-06,20
4 0 1,0.006524318859363899,0.00032717407548900687,0.94175427992447,6.9209414e-06,20
6 0 2,0.003057053316035597,0.0002333569328261744,1.4676955957677524,9.933449e-07,20
-4 1 4,0.034009477433583804,0.0005150197135766157,0.9201642950137568,2.177152e-06,20
-3 1 4,0.3021238416342209,0.0014458172771771235,0.8075896026475352,0.00022108768,20
-7 2 9,0.00017445996316450133,8.388356285147377e-05,,,20
-6 2 9,0.0003187669322916868,9.792677970062868e-05,1.7515857548296851,1.8498118e-10,20
1 -2 -6,0.0017752927494072966,0.00016807241302575524,1.1192801696820638,2.7059622e-07,20
5 -2 -6,0.0010153151847378133,0.00012739874817168119,1.2661450219140455,5.0383636e-07,20
4 -1 -3,0.03495549239604427,0.0005113327820627072,0.8394432442644539,2.1502465e-06,20
-5 0 0,0.002334532157510599,0.0002521438449989569,1.0650202804583395,1.7404093e-07,20
-6 1 4,0.0016341560717092682,0.00015736387308726927,1.2279777784287056,8.865919e-07,20
-5 1 4,0.005395718594224209,0.00022687544812656442,1.0639291090833682,2.6572286e-08,20
-5 2 8,0.0011519899707948058,0.00012737526453146522,1.5348984728393609,2.1616727e-07,20
-4 2 8,2.2661712808418866e-05,9.712833593328542e-05,1.4811361296162462,4.552683e-06,20
-3 2 8,0.005842988005777728,0.0002343432457152455,1.456831013813061,4.0784867e-06,20
-2 2 8,0.0007339342076699635,0.00013080387600299803,1.4634515458270532,2.6518612e-05,20
5 -2 -8,0.0006393655885202198,9.947669995488323e-05,1.5348984728393609,1.384585e-06,21
3 -2 -7,0.00030575699561203484,0.00010800126135328329,1.2831753382781252,1.3791066e-07,21
4 -2 -7,0.018948620519309706,0.0003739769704394513,1.3223917794393272,7.524173e-09,21
5 -2 -7,0.00012880776658463988,9.280734613354546e-05,1.3934283417941675,5.5964284e-07,21
3 -1 -5,0.001509763229485232,0.00017065561344951287,0.949085467547414,7.6677213e-07,21
4 -1 -5,0.002312034830183692,0.0001680489293855393,1.031741804090019,2.7722958e-06,21
5 -1 -5,0.0003546734181819173,0.00011006782169228935,1.1484600697138612,7.396996e-07,21
6 -1 -5,0.00025672315484107257,8.989537474676417e-05,1.2900276620950464,6.476999e-08,21
-2 -1 -4,0.045367903631406796,0.0005976586434966426,1.0202038943665506,5.506214e-07,21
-1 -1 -4,0.005984711774481155,0.00032099787811220464,0.884087139641456,3.455751e-05,21
0 -1 -4,0.07207955806419282,0.0007250808753085399,0.7830361490385692,2.7634604e-05,21
1 -1 -4,0.018125753766141832,0.00039161318424165076,0.7317257729135267,0.00010731745,21
